id,name,unit,price,note,date_created,date_updated,in_price
1,Acemol,Viên,500,,2016-08-29 17:55:20,,
2,Panadol,Viên,1000,,2016-08-29 17:55:56,,
3,Neurobion,Viên,5000,,2016-08-30 01:48:17,,
4,Methycoban,Viên,5000,,2016-08-30 01:48:45,,
5,Omeprazol 20mg,Viên,5000,,2016-08-30 01:49:05,,
6,Domperidon,Viên,5000,,2016-08-30 01:49:35,,
7,Briocal,Viên,5000,,2016-08-30 01:50:01,,
8,Rocaltrol,Viên,5000,,2016-08-30 01:50:23,,
9,Maotrix,Viên,5000,,2016-08-30 01:50:42,,
10,Myonal,Viên,5000,,2016-08-30 01:51:00,,
11,Brexin,Viên,5000,,2016-08-30 01:51:18,,
13,Arcoxia 90mg,Viên,5000,,2016-08-30 01:52:46,,
14,Celebrex 200mg,Viên,5000,,2016-08-30 01:53:08,,
15,Cele 200mg,Viên,5000,,2016-08-30 01:53:34,,
16,Cele 100mg,Viên,5000,,2016-08-30 01:53:57,,
17,Voltarel 75mg,Viên,5000,,2016-08-30 01:54:17,,
18,Voltaren,Ống,50000,,2016-08-30 01:55:04,,
19,Ofloxacin 200mg,Viên,5000,,2016-08-30 01:55:38,,
21,Ciprofloxacin 500mg,Viên,5000,,2016-08-30 01:56:48,,
22,Triam,Ống,50000,,2016-08-30 01:57:16,,
23,Dipropan,Ống,50000,,2016-08-30 01:57:41,,
24,Nucleo,Viên,5000,,2016-08-30 01:58:00,,
25,Leolen,Viên,5000,,2016-08-30 01:58:13,,
26,Tanakan,Viên,5000,,2016-08-30 01:58:26,,
27,Calci D,Viên,5000,,2016-08-30 01:58:39,,
28,Daflon,Viên,5000,,2016-08-30 01:58:52,,
29,Ginko,Viên,5000,,2016-08-30 01:59:03,,
30,Venosan,Viên,5000,,2016-08-30 01:59:17,,
31,Hasanlong,Viên,5000,,2016-08-30 01:59:34,,
32,Drofen,Viên,5000,,2016-08-30 03:03:49,,
33,Alenta,Viên,5000,,2016-08-30 03:04:05,,
35,Medron 16mg,Viên,5000,,2016-08-30 03:04:58,,
36,Medron 4mg,Viên,5000,,2016-08-30 03:05:10,,
37,Allopurinol,Viên,5000,,2016-08-30 03:05:42,,
38,Colcichin,Viên,5000,,2016-08-30 03:06:06,,
39,Furo,Viên,5000,,2016-08-30 03:06:20,,
40,ultracet,Viên,10,,2016-09-03 02:53:09,,
41,hyalgan,Ống,1000000,,2016-09-06 13:51:49,,
42,motilium,Viên,2000,,2016-09-06 13:52:08,,
43,artrodar,Viên,14000,,2016-09-06 13:52:27,,
44,viatril,Gói,13000,,2016-09-06 13:52:51,,
45,go-on,Ống,1000000,,2016-09-06 13:58:28,,
46,medrol 16mg,Viên,4000,,2016-09-06 14:00:17,,
47,hi-antalvic,Viên,1000,,2016-09-06 14:01:13,,
48,epigaba,Viên,1,,2016-09-25 04:21:41,,
49,"mobic 7,5mg",Viên,100000,,2016-09-28 12:42:38,,
50,depo,Ống,50000,methyprednisolon 40mg,2016-10-04 11:06:14,,
51,dipropan,Ống,60000,betamethasone,2016-10-04 11:06:57,,
52,mag b6,Viên,1000,,2016-10-10 11:02:25,,
53,codalgin,Viên,3500,para 500mg+ codein 30mg,2016-10-17 10:25:44,,
54,methotrexate,Viên,9000,,2016-10-25 10:34:47,,
55,betaserc 16mg,Viên,3500,,2016-10-25 11:25:28,,
56,regenflex,Viên,5,hyaluronic 3ml,2016-11-10 10:36:09,,
57,mobic,Ống,35,giảm đau,2017-02-16 12:37:02,,
58,bostacet,Viên,1700,g.đau,2017-02-23 12:41:02,,
59,ACLASTA,Ống,8,LOANG XUONG,2017-04-17 15:33:57,,
60,lyrica,Viên,20,tkinh,2017-05-08 11:08:32,,
61,hapacol,Viên,1200,para+ codein 8mg,2017-06-27 15:41:30,,
62,trosicam,Viên,5000,meloxicam ngậm,2017-07-24 11:52:44,,
63,neurontin,Viên,14,bổ tkinh,2017-07-25 12:26:47,,
64,omega,Viên,1000,bổ,2017-08-08 14:07:06,,
65,piascledine,Viên,13000,bổ sụn khớp,2017-08-10 11:25:33,,
66,japroloc,Viên,4200,k.viêm giảm đau,2017-08-14 12:51:56,,
